id,date,horizon,y_pred
HOBBIES_1_001_CA_1_validation,2016-04-25,1,0.8330123424530029
HOBBIES_1_001_CA_1_validation,2016-04-26,2,0.7515068650245667
HOBBIES_1_001_CA_1_validation,2016-04-27,3,0.743493378162384
HOBBIES_1_001_CA_1_validation,2016-04-28,4,0.7624359130859375
HOBBIES_1_001_CA_1_validation,2016-04-29,5,0.9175266027450562
HOBBIES_1_001_CA_1_validation,2016-04-30,6,1.1252585649490356
HOBBIES_1_001_CA_1_validation,2016-05-01,7,1.2439237833023071
HOBBIES_1_002_CA_1_validation,2016-04-25,1,0.17253465950489044
HOBBIES_1_002_CA_1_validation,2016-04-26,2,0.1956387609243393
HOBBIES_1_002_CA_1_validation,2016-04-27,3,0.19331322610378265
HOBBIES_1_002_CA_1_validation,2016-04-28,4,0.1727040559053421
HOBBIES_1_002_CA_1_validation,2016-04-29,5,0.1827772706747055
HOBBIES_1_002_CA_1_validation,2016-04-30,6,0.18450157344341278
HOBBIES_1_002_CA_1_validation,2016-05-01,7,0.21910108625888824
HOBBIES_1_003_CA_1_validation,2016-04-25,1,0.6206270456314087
HOBBIES_1_003_CA_1_validation,2016-04-26,2,0.5157667994499207
HOBBIES_1_003_CA_1_validation,2016-04-27,3,0.5333588719367981
HOBBIES_1_003_CA_1_validation,2016-04-28,4,0.5559579133987427
HOBBIES_1_003_CA_1_validation,2016-04-29,5,0.6228635907173157
HOBBIES_1_003_CA_1_validation,2016-04-30,6,0.7354955077171326
HOBBIES_1_003_CA_1_validation,2016-05-01,7,0.8447993993759155
HOBBIES_1_004_CA_1_validation,2016-04-25,1,1.6686038970947266
HOBBIES_1_004_CA_1_validation,2016-04-26,2,1.4014331102371216
HOBBIES_1_004_CA_1_validation,2016-04-27,3,1.6282790899276733
HOBBIES_1_004_CA_1_validation,2016-04-28,4,1.5917458534240723
HOBBIES_1_004_CA_1_validation,2016-04-29,5,1.9100840091705322
HOBBIES_1_004_CA_1_validation,2016-04-30,6,2.355008602142334
HOBBIES_1_004_CA_1_validation,2016-05-01,7,2.5647246837615967
HOBBIES_1_005_CA_1_validation,2016-04-25,1,1.2242405414581299
HOBBIES_1_005_CA_1_validation,2016-04-26,2,1.1852422952651978
HOBBIES_1_005_CA_1_validation,2016-04-27,3,1.3067153692245483
HOBBIES_1_005_CA_1_validation,2016-04-28,4,1.2641549110412598
HOBBIES_1_005_CA_1_validation,2016-04-29,5,1.2233880758285522
HOBBIES_1_005_CA_1_validation,2016-04-30,6,1.3473412990570068
HOBBIES_1_005_CA_1_validation,2016-05-01,7,1.4971827268600464
HOBBIES_1_006_CA_1_validation,2016-04-25,1,0.9122193455696106
HOBBIES_1_006_CA_1_validation,2016-04-26,2,1.0271261930465698
HOBBIES_1_006_CA_1_validation,2016-04-27,3,1.5999293327331543
HOBBIES_1_006_CA_1_validation,2016-04-28,4,1.8004907369613647
HOBBIES_1_006_CA_1_validation,2016-04-29,5,2.0872552394866943
HOBBIES_1_006_CA_1_validation,2016-04-30,6,2.426800489425659
HOBBIES_1_006_CA_1_validation,2016-05-01,7,2.1983110904693604
HOBBIES_1_007_CA_1_validation,2016-04-25,1,0.34911903738975525
HOBBIES_1_007_CA_1_validation,2016-04-26,2,0.33805832266807556
HOBBIES_1_007_CA_1_validation,2016-04-27,3,0.2597307860851288
HOBBIES_1_007_CA_1_validation,2016-04-28,4,0.25928929448127747
HOBBIES_1_007_CA_1_validation,2016-04-29,5,0.3101821839809418
HOBBIES_1_007_CA_1_validation,2016-04-30,6,0.3737609088420868
HOBBIES_1_007_CA_1_validation,2016-05-01,7,0.3627820909023285
HOBBIES_1_008_CA_1_validation,2016-04-25,1,5.211114406585693
HOBBIES_1_008_CA_1_validation,2016-04-26,2,6.647511005401611
HOBBIES_1_008_CA_1_validation,2016-04-27,3,7.389219284057617
HOBBIES_1_008_CA_1_validation,2016-04-28,4,9.125701904296875
HOBBIES_1_008_CA_1_validation,2016-04-29,5,10.475268363952637
HOBBIES_1_008_CA_1_validation,2016-04-30,6,12.307290077209473
HOBBIES_1_008_CA_1_validation,2016-05-01,7,6.182098388671875
HOBBIES_1_009_CA_1_validation,2016-04-25,1,0.860184371471405
HOBBIES_1_009_CA_1_validation,2016-04-26,2,0.6982913017272949
HOBBIES_1_009_CA_1_validation,2016-04-27,3,0.5782105326652527
HOBBIES_1_009_CA_1_validation,2016-04-28,4,0.6849274039268494
HOBBIES_1_009_CA_1_validation,2016-04-29,5,0.7383105158805847
HOBBIES_1_009_CA_1_validation,2016-04-30,6,0.866899311542511
